#  0. Epoch Time
#  1. Bz (nT), GSE
#  2. Flow Speed (km/s), GSE
#  3. Proton density (n/cc) (last currently-available OMNI plasma data Mar 08, 2018)
#
#EPOCH_TIME, BZ,_GSE FLOW_SPEED,_GSE PROTON_DENSITY
#dd-mm-yyyy hh:mm:ss           nT            km/s           n/cc
31-10-2012/08:09:00     -0.320000         277.200        8.50000
31-10-2012/08:10:00      0.720000             nan            nan
31-10-2012/08:11:00     -0.200000             nan            nan
31-10-2012/08:12:00     -0.720000         280.900        7.51000
31-10-2012/08:13:00     -0.630000         280.900        7.51000
31-10-2012/08:14:00     -0.480000         279.600        7.91000
31-10-2012/08:15:00     -0.910000         279.800        7.87000
31-10-2012/08:16:00     -0.920000         281.400        7.58000
31-10-2012/08:17:00     -0.850000         281.400        7.58000
31-10-2012/08:18:00     -0.870000         280.000        8.37000
31-10-2012/08:19:00     -0.820000         280.000        8.37000
31-10-2012/08:20:00     -0.910000         281.000        7.81000
31-10-2012/08:21:00     -0.580000         281.500        7.52000
31-10-2012/08:22:00      -1.31000         282.400        8.16000
31-10-2012/08:23:00     -0.890000         282.900        8.51000
31-10-2012/08:24:00     -0.490000         282.800        7.28000
31-10-2012/08:25:00     -0.490000         282.800        7.24000
31-10-2012/08:26:00     -0.160000         280.600        7.59000
31-10-2012/08:27:00      0.190000         281.900        7.50000
31-10-2012/08:28:00      0.350000         282.500        7.34000
31-10-2012/08:29:00      0.400000         283.600        7.58000
31-10-2012/08:30:00     0.0100000         283.600        7.58000
31-10-2012/08:31:00     -0.390000         281.600        7.24000
31-10-2012/08:32:00      0.880000         281.500        7.23000
31-10-2012/08:33:00           nan             nan            nan
31-10-2012/08:34:00       1.12000         281.100        7.80000
31-10-2012/08:35:00       1.15000         281.100        7.80000
31-10-2012/08:36:00       1.15000             nan            nan
31-10-2012/08:37:00       1.02000             nan            nan
31-10-2012/08:38:00           nan             nan            nan
31-10-2012/08:39:00       1.49000             nan            nan
31-10-2012/08:40:00           nan             nan            nan
31-10-2012/08:41:00       1.40000             nan            nan
31-10-2012/08:42:00       1.28000             nan            nan
31-10-2012/08:43:00      -1.40000             nan            nan
31-10-2012/08:44:00      0.490000         280.800        8.05000
31-10-2012/08:45:00      0.170000         279.900        8.03000
31-10-2012/08:46:00      0.650000         280.900        7.26000
31-10-2012/08:47:00      0.370000         280.900        7.26000
31-10-2012/08:48:00      0.330000         280.900        8.55000
31-10-2012/08:49:00      0.420000         280.900        8.55000
31-10-2012/08:50:00       1.74000             nan            nan
31-10-2012/08:51:00       2.23000         285.200        8.95000
31-10-2012/08:52:00       2.60000         280.800        8.27000
31-10-2012/08:53:00       1.03000         281.200        8.97000
31-10-2012/08:54:00       3.47000         285.800        9.03000
31-10-2012/08:55:00       1.59000         285.800        9.03000
31-10-2012/08:56:00       3.09000             nan            nan
31-10-2012/08:57:00       3.29000             nan            nan
31-10-2012/08:58:00       3.41000             nan            nan
31-10-2012/08:59:00           nan             nan            nan
31-10-2012/09:00:00       3.33000             nan            nan
31-10-2012/09:01:00       3.49000             nan            nan
31-10-2012/09:02:00       3.36000         287.000        9.03000
31-10-2012/09:03:00       3.53000         287.000        9.03000
31-10-2012/09:04:00       3.33000         286.200        9.12000
31-10-2012/09:05:00       3.48000         286.200        9.12000
31-10-2012/09:06:00       3.68000             nan            nan
31-10-2012/09:07:00           nan             nan            nan
31-10-2012/09:08:00           nan             nan            nan
31-10-2012/09:09:00           nan             nan            nan
31-10-2012/09:10:00       2.98000             nan            nan
31-10-2012/09:11:00       3.47000             nan            nan
31-10-2012/09:12:00       3.41000             nan            nan
31-10-2012/09:13:00       2.94000         289.500        9.40000
31-10-2012/09:14:00       2.96000         289.500        9.40000
31-10-2012/09:15:00       3.12000             nan            nan
31-10-2012/09:16:00       3.21000             nan            nan
31-10-2012/09:17:00       3.20000         288.300        9.13000
31-10-2012/09:18:00       3.27000         288.300        9.13000
31-10-2012/09:19:00       3.30000             nan            nan
31-10-2012/09:20:00       3.39000             nan            nan
31-10-2012/09:21:00       3.77000         287.800        8.28000
31-10-2012/09:22:00       3.48000         287.600        8.67000
31-10-2012/09:23:00       3.72000         287.400        9.32000
31-10-2012/09:24:00       3.69000             nan            nan
31-10-2012/09:25:00       3.71000             nan            nan
31-10-2012/09:26:00       3.97000             nan            nan
31-10-2012/09:27:00       4.12000         286.000        8.61000
31-10-2012/09:28:00       4.06000         285.600        8.77000
31-10-2012/09:29:00       3.50000         285.400        8.74000
31-10-2012/09:30:00       3.35000         286.000        9.59000
31-10-2012/09:31:00       3.13000         287.100        9.52000
31-10-2012/09:32:00       3.16000         289.400        9.32000
31-10-2012/09:33:00       3.03000         289.300        9.10000
31-10-2012/09:34:00       2.83000         288.800        9.68000
31-10-2012/09:35:00       2.57000         289.200        9.52000
31-10-2012/09:36:00       2.22000         289.300        9.29000
31-10-2012/09:37:00       2.21000             nan            nan
31-10-2012/09:38:00       2.12000             nan            nan
31-10-2012/09:39:00       2.21000         288.800        9.82000
31-10-2012/09:40:00       2.21000         288.800        9.82000
31-10-2012/09:41:00       2.00000         288.100        9.21000
31-10-2012/09:42:00       1.89000         288.500        9.81000
31-10-2012/09:43:00       1.76000         286.900        10.0600
31-10-2012/09:44:00       1.48000         286.300        10.0600
31-10-2012/09:45:00       2.59000         287.600        9.96000
31-10-2012/09:46:00       3.38000         287.100        9.75000
31-10-2012/09:47:00       4.21000         287.200        9.51000
31-10-2012/09:48:00       4.13000         287.400        8.85000
31-10-2012/09:49:00       4.06000         287.600        8.60000
31-10-2012/09:50:00       3.97000         288.900        8.72000
31-10-2012/09:51:00       3.83000         289.700        8.74000
31-10-2012/09:52:00       3.80000         289.200        9.21000
31-10-2012/09:53:00       3.47000         286.400        9.33000
31-10-2012/09:54:00       3.47000         288.400        9.39000
31-10-2012/09:55:00       3.45000         286.700        8.68000
31-10-2012/09:56:00       3.17000         286.800        8.99000
31-10-2012/09:57:00       3.10000         286.400        8.95000
31-10-2012/09:58:00       3.98000         286.300        8.76000
31-10-2012/09:59:00       3.30000         288.200        8.24000
31-10-2012/10:00:00       3.72000         288.600        8.64000
31-10-2012/10:01:00       3.84000         289.500        8.01000
31-10-2012/10:02:00       3.87000         288.200        8.24000
31-10-2012/10:03:00       3.96000         288.000        8.46000
31-10-2012/10:04:00           nan         286.000        8.44000
31-10-2012/10:05:00           nan             nan            nan
31-10-2012/10:06:00           nan             nan            nan
31-10-2012/10:07:00           nan             nan            nan
31-10-2012/10:08:00           nan             nan            nan
31-10-2012/10:09:00           nan             nan            nan
31-10-2012/10:10:00           nan             nan            nan
31-10-2012/10:11:00           nan             nan            nan
31-10-2012/10:12:00           nan             nan            nan
31-10-2012/10:13:00           nan             nan            nan
31-10-2012/10:14:00           nan             nan            nan
31-10-2012/10:15:00           nan             nan            nan
31-10-2012/10:16:00       4.01000             nan            nan
31-10-2012/10:17:00           nan             nan            nan
31-10-2012/10:18:00           nan             nan            nan
31-10-2012/10:19:00           nan             nan            nan
31-10-2012/10:20:00           nan             nan            nan
31-10-2012/10:21:00           nan             nan            nan
31-10-2012/10:22:00       3.50000         283.000        8.81000
31-10-2012/10:23:00       3.17000         282.600        9.12000
31-10-2012/10:24:00       3.20000         281.600        8.29000
31-10-2012/10:25:00       3.39000         281.600        8.29000
31-10-2012/10:26:00       2.84000         281.600        8.29000
31-10-2012/10:27:00       3.37000             nan            nan
31-10-2012/10:28:00       3.31000         280.000        9.87000
31-10-2012/10:29:00       3.16000         285.000        9.07000
31-10-2012/10:30:00       3.24000         288.900        8.43000
31-10-2012/10:31:00       3.22000         279.400        9.60000
31-10-2012/10:32:00       3.36000         279.400        9.60000
31-10-2012/10:33:00       3.19000         281.700        9.21000
31-10-2012/10:34:00       2.99000         283.400        9.41000
31-10-2012/10:35:00       2.68000         283.800        9.48000
31-10-2012/10:36:00       3.41000             nan            nan
31-10-2012/10:37:00       2.56000             nan            nan
31-10-2012/10:38:00       3.83000         284.800        9.22000
31-10-2012/10:39:00       3.30000         282.700        9.89000
31-10-2012/10:40:00       2.71000         281.000        10.4000
31-10-2012/10:41:00       3.62000             nan            nan
31-10-2012/10:42:00       3.59000         282.500        9.51000
31-10-2012/10:43:00       3.19000         282.500        9.51000
31-10-2012/10:44:00     -0.360000         283.800        9.23000
31-10-2012/10:45:00     -0.130000         285.400        9.44000
31-10-2012/10:46:00      -1.73000         286.300        9.56000
31-10-2012/10:47:00     -0.260000             nan            nan
31-10-2012/10:48:00      -1.17000         284.200        8.58000
31-10-2012/10:49:00      0.210000         284.200        8.58000
31-10-2012/10:50:00     -0.300000         282.200        8.83000
31-10-2012/10:51:00     -0.480000         282.200        8.84000
31-10-2012/10:52:00       1.50000         283.500        9.16000
31-10-2012/10:53:00      -1.37000         284.400        9.04000
31-10-2012/10:54:00      0.900000         285.300        8.50000
31-10-2012/10:55:00      0.390000         279.700        10.6900
31-10-2012/10:56:00       1.82000         280.000        10.5200
31-10-2012/10:57:00       2.21000         288.200        8.15000
31-10-2012/10:58:00       2.50000         285.000        9.30000
31-10-2012/10:59:00       2.46000         285.900        9.16000
31-10-2012/11:00:00       1.75000         286.000        8.89000
31-10-2012/11:01:00     -0.600000         282.600        9.83000
31-10-2012/11:02:00      -1.96000         281.900        9.22000
31-10-2012/11:03:00      -2.56000         283.300        8.47000
31-10-2012/11:04:00      -2.95000         282.100        9.32000
31-10-2012/11:05:00      -4.29000             nan            nan
31-10-2012/11:06:00      -4.26000             nan            nan
31-10-2012/11:07:00      -4.30000         286.100        7.34000
31-10-2012/11:08:00      -4.28000         286.100        7.34000
31-10-2012/11:09:00      -4.17000         286.100        7.34000
31-10-2012/11:10:00      -4.18000             nan            nan
31-10-2012/11:11:00      -4.23000         284.900        7.45000
31-10-2012/11:12:00      -4.18000         284.900        7.45000
31-10-2012/11:13:00      -4.16000         284.900        7.45000
31-10-2012/11:14:00      -3.70000         284.300        8.48000
31-10-2012/11:15:00      -2.75000         284.300        8.48000
31-10-2012/11:16:00      -3.58000         288.200        8.59000
31-10-2012/11:17:00      -3.75000         288.600        8.64000
31-10-2012/11:18:00      -3.69000         288.100        8.75000
31-10-2012/11:19:00      -2.55000         288.000        8.26000
31-10-2012/11:20:00       1.23000         288.000        8.25000
31-10-2012/11:21:00     -0.650000             nan            nan
31-10-2012/11:22:00      -4.04000         290.200        8.05000
31-10-2012/11:23:00      -3.95000         290.200        8.05000
31-10-2012/11:24:00      -3.84000         290.600        8.09000
31-10-2012/11:25:00      -3.98000         290.400        8.17000
31-10-2012/11:26:00      -3.94000         290.200        8.23000
31-10-2012/11:27:00      -3.85000         290.600        8.39000
31-10-2012/11:28:00      -3.64000         291.000        8.33000
31-10-2012/11:29:00      -3.84000         291.600        8.27000
31-10-2012/11:30:00      -2.67000         289.900        8.17000
31-10-2012/11:31:00      -3.49000         286.200        8.38000
31-10-2012/11:32:00      -3.03000         292.900        8.16000
31-10-2012/11:33:00      -3.23000         292.200        7.95000
31-10-2012/11:34:00      -3.36000         286.600        8.73000
31-10-2012/11:35:00      -3.24000         289.100        8.97000
31-10-2012/11:36:00       2.08000         289.300        8.95000
31-10-2012/11:37:00     -0.530000             nan            nan
31-10-2012/11:38:00           nan             nan            nan
31-10-2012/11:39:00       1.79000         285.600        9.20000
31-10-2012/11:40:00      0.770000         285.500        8.97000
31-10-2012/11:41:00       1.89000         279.800        9.96000
31-10-2012/11:42:00     -0.310000         281.500        9.36000
31-10-2012/11:43:00      -1.79000         285.000        9.11000
31-10-2012/11:44:00      -2.37000         292.300        8.85000
31-10-2012/11:45:00       1.72000         292.300        8.85000
31-10-2012/11:46:00       1.14000             nan            nan
31-10-2012/11:47:00       1.04000             nan            nan
31-10-2012/11:48:00       1.49000         285.100        10.5800
31-10-2012/11:49:00      0.840000         284.000        10.5100
31-10-2012/11:50:00       1.15000         282.500        10.4100
31-10-2012/11:51:00       1.63000             nan            nan
31-10-2012/11:52:00       1.54000             nan            nan
31-10-2012/11:53:00       1.06000         285.700        10.3500
31-10-2012/11:54:00      0.790000         285.700        10.3500
31-10-2012/11:55:00       1.55000         281.900        10.1500
31-10-2012/11:56:00       1.35000         281.900        10.1500
31-10-2012/11:57:00      0.800000         281.900        10.1500
31-10-2012/11:58:00      0.850000             nan            nan
31-10-2012/11:59:00      0.860000         278.500        9.01000
31-10-2012/12:00:00      0.860000         278.500        9.01000
31-10-2012/12:01:00      0.540000         278.500        9.01000
31-10-2012/12:02:00      0.860000             nan            nan
31-10-2012/12:03:00      0.920000         276.700        9.05000
31-10-2012/12:04:00      0.810000         276.000        9.20000
31-10-2012/12:05:00      0.960000         275.600        9.27000
31-10-2012/12:06:00      0.820000             nan            nan
31-10-2012/12:07:00      0.810000         275.700        9.15000
31-10-2012/12:08:00      0.620000         275.700        9.15000
31-10-2012/12:09:00      0.630000             nan            nan
31-10-2012/12:10:00      0.960000             nan            nan
31-10-2012/12:11:00      0.940000             nan            nan
31-10-2012/12:12:00      0.930000         275.700        9.41000
31-10-2012/12:13:00      0.960000         275.700        9.41000
31-10-2012/12:14:00      0.980000         275.700        9.41000
31-10-2012/12:15:00       1.00000             nan            nan
31-10-2012/12:16:00       1.08000         275.000        8.96000
31-10-2012/12:17:00      0.970000         275.000        8.96000
31-10-2012/12:18:00      0.900000             nan            nan
31-10-2012/12:19:00       1.12000         275.700        8.73000
31-10-2012/12:20:00       1.08000         275.900        9.10000
31-10-2012/12:21:00      0.990000         275.600        9.67000
31-10-2012/12:22:00      0.960000         275.500        9.77000
31-10-2012/12:23:00      0.800000             nan            nan
31-10-2012/12:24:00      0.740000             nan            nan
31-10-2012/12:25:00      0.770000             nan            nan
31-10-2012/12:26:00      0.800000             nan            nan
31-10-2012/12:27:00      0.670000         277.900        9.14000
31-10-2012/12:28:00      0.730000         274.900        8.86000
31-10-2012/12:29:00       1.11000         273.200        8.70000
31-10-2012/12:30:00      0.880000             nan            nan
31-10-2012/12:31:00      0.320000         275.700        8.71000
31-10-2012/12:32:00       1.23000         275.700        8.72000
31-10-2012/12:33:00       1.49000         282.000        10.1000
31-10-2012/12:34:00      0.840000         278.800        10.2200
31-10-2012/12:35:00      0.510000         278.000        10.2500
31-10-2012/12:36:00      0.390000             nan            nan
31-10-2012/12:37:00      0.650000         274.400        8.41000
31-10-2012/12:38:00      0.370000         274.200        8.39000
31-10-2012/12:39:00      0.140000         274.000        8.38000
31-10-2012/12:40:00       1.54000         280.200        8.98000
31-10-2012/12:41:00       1.72000         279.500        9.25000
31-10-2012/12:42:00       1.61000         277.400        10.0600
31-10-2012/12:43:00       1.85000         276.900        10.2500
31-10-2012/12:44:00       1.51000             nan            nan
31-10-2012/12:45:00       1.79000             nan            nan
31-10-2012/12:46:00       1.46000         277.500        9.99000
31-10-2012/12:47:00     -0.970000         278.300        9.75000
31-10-2012/12:48:00      -1.73000         280.000        9.11000
31-10-2012/12:49:00      -1.61000         278.200        9.02000
31-10-2012/12:50:00      -1.24000         277.700        8.31000
31-10-2012/12:51:00      -1.28000         277.600        8.05000
31-10-2012/12:52:00     -0.740000         280.400        9.89000
31-10-2012/12:53:00      -3.22000         278.700        9.45000
31-10-2012/12:54:00      -3.34000         277.200        8.56000
31-10-2012/12:55:00      -3.40000         277.300        8.51000
31-10-2012/12:56:00      -3.12000         278.900        8.98000
31-10-2012/12:57:00      -2.91000         278.900        8.98000
31-10-2012/12:58:00      -2.81000         281.000        7.37000
31-10-2012/12:59:00      -2.45000         280.800        7.73000
31-10-2012/13:00:00      -2.56000         280.100        8.80000
31-10-2012/13:01:00      -1.99000         277.800        8.81000
31-10-2012/13:02:00      -1.54000         279.600        9.89000
31-10-2012/13:03:00      -1.38000         279.800        9.96000
31-10-2012/13:04:00      -1.66000             nan            nan
31-10-2012/13:05:00      -1.87000             nan            nan
31-10-2012/13:06:00      -1.72000         283.000        8.47000
31-10-2012/13:07:00      -2.75000         283.000        8.47000
31-10-2012/13:08:00      -2.97000         280.300        8.55000
31-10-2012/13:09:00      -2.41000         277.200        8.65000
31-10-2012/13:10:00      -3.62000         277.200        8.65000
31-10-2012/13:11:00      -3.57000         286.300        7.32000
31-10-2012/13:12:00      -3.62000         286.300        7.32000
31-10-2012/13:13:00      -3.80000             nan            nan
31-10-2012/13:14:00      -3.80000         285.600        8.34000
31-10-2012/13:15:00      -3.62000         285.600        8.34000
31-10-2012/13:16:00      -3.56000         286.200        8.04000
31-10-2012/13:17:00      -3.70000         286.800        7.81000
31-10-2012/13:18:00      -3.72000         286.600        9.11000
31-10-2012/13:19:00      -3.60000         286.200        9.32000
31-10-2012/13:20:00      -3.64000         286.100        9.37000
31-10-2012/13:21:00      -3.80000         286.500        9.42000
31-10-2012/13:22:00      -3.67000         286.500        9.42000
31-10-2012/13:23:00      -3.58000         286.400        9.59000
31-10-2012/13:24:00      -3.34000         286.300        9.69000
31-10-2012/13:25:00      -3.52000         285.200        9.60000
31-10-2012/13:26:00      -3.69000         285.200        9.60000
31-10-2012/13:27:00      -3.51000         286.000        7.52000
31-10-2012/13:28:00      -3.51000         286.000        7.52000
31-10-2012/13:29:00      -3.49000         285.000        7.78000
31-10-2012/13:30:00      -3.48000         285.000        7.78000
31-10-2012/13:31:00      -3.68000         285.000        7.90000
31-10-2012/13:32:00      -3.85000         285.600        7.84000
31-10-2012/13:33:00      -3.94000         284.800        8.56000
31-10-2012/13:34:00      -3.94000         284.200        8.92000
31-10-2012/13:35:00      -3.90000         283.300        7.69000
31-10-2012/13:36:00      -4.00000         283.400        7.71000
31-10-2012/13:37:00      -3.91000         284.200        7.82000
31-10-2012/13:38:00      -3.82000         283.600        7.79000
31-10-2012/13:39:00      -3.89000         284.400        7.80000
31-10-2012/13:40:00      -4.22000         284.500        7.77000
31-10-2012/13:41:00      -4.21000         284.300        7.74000
31-10-2012/13:42:00      -4.38000         283.300        7.53000
31-10-2012/13:43:00      -4.42000         283.500        7.48000
31-10-2012/13:44:00      -4.45000         283.900        7.62000
31-10-2012/13:45:00      -3.87000         284.200        7.72000
31-10-2012/13:46:00      -3.42000         280.900        8.69000
31-10-2012/13:47:00      -3.47000         280.900        8.70000
31-10-2012/13:48:00      -3.69000         279.900        8.85000
31-10-2012/13:49:00      -3.74000         280.700        8.93000
31-10-2012/13:50:00      -3.66000         285.200        9.36000
31-10-2012/13:51:00      -3.72000         285.200        9.36000
31-10-2012/13:52:00      -3.79000         285.100        6.73000
31-10-2012/13:53:00      -3.81000         285.100        6.73000
31-10-2012/13:54:00      -3.73000             nan            nan
31-10-2012/13:55:00      -3.69000         284.700        7.87000
31-10-2012/13:56:00      -3.38000         285.800        7.75000
31-10-2012/13:57:00      -3.38000         286.100        7.97000
31-10-2012/13:58:00      -3.49000         286.100        8.05000
31-10-2012/13:59:00      -2.17000         285.700        7.68000
31-10-2012/14:00:00      -2.36000         285.700        7.68000
31-10-2012/14:01:00      -2.68000         286.900        7.78000
31-10-2012/14:02:00      -2.65000         286.700        7.71000
31-10-2012/14:03:00      -2.64000         286.600        7.69000
31-10-2012/14:04:00      -2.60000         285.400        7.76000
31-10-2012/14:05:00      -2.50000         286.800        8.25000
31-10-2012/14:06:00      -2.69000         287.200        8.31000
31-10-2012/14:07:00      -2.99000         285.900        7.68000
31-10-2012/14:08:00      -3.03000         285.800        7.60000
31-10-2012/14:09:00      -2.57000         285.600        7.49000
31-10-2012/14:10:00      -2.73000         284.900        7.53000
31-10-2012/14:11:00      -3.15000         284.400        7.55000
31-10-2012/14:12:00      -2.98000         285.400        7.32000
31-10-2012/14:13:00      -3.15000         286.500        7.74000
31-10-2012/14:14:00      -3.39000         286.800        7.91000
31-10-2012/14:15:00      -3.33000         286.300        7.88000
31-10-2012/14:16:00      -2.77000         286.000        7.84000
31-10-2012/14:17:00      -2.72000         284.900        7.69000
31-10-2012/14:18:00      -2.97000         284.800        8.00000
31-10-2012/14:19:00      -3.07000         284.800        8.09000
31-10-2012/14:20:00      -3.22000         284.500        8.01000
31-10-2012/14:21:00      -3.22000         284.500        8.01000
31-10-2012/14:22:00      -3.13000         284.400        8.56000
31-10-2012/14:23:00      -3.07000         285.100        8.48000
31-10-2012/14:24:00      -3.11000         285.500        8.32000
31-10-2012/14:25:00      -3.28000         284.700        8.11000
31-10-2012/14:26:00      -3.10000         285.300        8.48000
31-10-2012/14:27:00      -3.05000         285.000        8.13000
31-10-2012/14:28:00      -3.12000         284.900        8.06000
31-10-2012/14:29:00      -2.66000         284.500        9.59000
31-10-2012/14:30:00      -2.85000         285.400        9.96000
31-10-2012/14:31:00      -3.08000         286.300        10.3300
31-10-2012/14:32:00      -3.40000             nan            nan
31-10-2012/14:33:00      -3.33000             nan            nan
31-10-2012/14:34:00      -3.19000         287.300        10.3500
31-10-2012/14:35:00      -3.39000         287.600        10.2800
31-10-2012/14:36:00      -3.31000         289.400        10.0000
31-10-2012/14:37:00      -3.19000         287.900        10.4200
31-10-2012/14:38:00      -3.68000         287.900        10.4200
31-10-2012/14:39:00      -3.78000         286.600        9.44000
31-10-2012/14:40:00      -3.62000         287.100        9.46000
31-10-2012/14:41:00      -3.68000         288.300        9.21000
31-10-2012/14:42:00      -3.41000         288.600        9.12000
31-10-2012/14:43:00      -3.52000         286.700        9.09000
31-10-2012/14:44:00      -3.55000         286.900        9.01000
31-10-2012/14:45:00      -3.60000         287.700        8.76000
31-10-2012/14:46:00      -3.62000         286.800        9.82000
31-10-2012/14:47:00      -3.54000         287.200        9.80000
31-10-2012/14:48:00      -3.42000         288.900        9.70000
31-10-2012/14:49:00      -3.46000         289.200        9.42000
31-10-2012/14:50:00      -3.36000         289.200        9.41000
31-10-2012/14:51:00      -3.37000         288.900        9.24000
31-10-2012/14:52:00      -3.39000         289.100        9.45000
31-10-2012/14:53:00      -3.38000         289.200        9.57000
31-10-2012/14:54:00      -3.51000         290.300        9.57000
31-10-2012/14:55:00      -3.36000         291.400        9.68000
31-10-2012/14:56:00      -3.61000         291.900        9.72000
31-10-2012/14:57:00      -3.69000         291.900        9.59000
31-10-2012/14:58:00      -3.83000         291.700        9.78000
31-10-2012/14:59:00      -3.95000         290.900        10.3500
31-10-2012/15:00:00      -3.89000         291.300        9.74000
31-10-2012/15:01:00      -3.71000         291.400        9.58000
31-10-2012/15:02:00      -3.75000         289.000        9.62000
31-10-2012/15:03:00      -3.67000         289.000        9.62000
31-10-2012/15:04:00      -3.50000         289.200        9.59000
31-10-2012/15:05:00      -3.85000         290.200        9.60000
31-10-2012/15:06:00      -4.14000         290.600        9.60000
31-10-2012/15:07:00      -4.38000         289.600        9.98000
31-10-2012/15:08:00      -4.15000         289.600        9.99000
31-10-2012/15:09:00      -3.84000         289.000        10.1600
31-10-2012/15:10:00      -3.51000         290.100        10.0100
31-10-2012/15:11:00      -3.23000         290.400        9.96000
31-10-2012/15:12:00      -2.98000         290.800        9.83000
31-10-2012/15:13:00      -3.05000         290.800        9.83000
31-10-2012/15:14:00      -3.01000         289.200        10.8600
31-10-2012/15:15:00      -2.92000         289.800        10.1500
31-10-2012/15:16:00      -2.99000         290.100        9.77000
31-10-2012/15:17:00      -2.77000         289.200        9.58000
31-10-2012/15:18:00      -2.80000         289.200        9.56000
31-10-2012/15:19:00      -3.16000         289.300        9.48000
31-10-2012/15:20:00      -3.17000         291.300        9.10000
31-10-2012/15:21:00      -2.86000         291.300        9.09000
31-10-2012/15:22:00      -1.78000         288.300        10.2100
31-10-2012/15:23:00      -1.98000         288.300        10.2100
31-10-2012/15:24:00      -2.03000         289.500        9.84000
31-10-2012/15:25:00      -2.06000         289.800        10.1900
31-10-2012/15:26:00      -2.10000         290.400        10.1400
31-10-2012/15:27:00      -2.08000         291.700        9.61000
31-10-2012/15:28:00      -1.91000         291.800        9.54000
31-10-2012/15:29:00      -1.79000         291.800        9.54000
31-10-2012/15:30:00      -1.82000         290.900        9.84000
31-10-2012/15:31:00      -1.69000         290.900        9.84000
31-10-2012/15:32:00      -1.91000         291.400        9.94000
31-10-2012/15:33:00      -1.70000         291.600        10.1900
31-10-2012/15:34:00      -1.47000         292.000        10.9300
31-10-2012/15:35:00      -1.40000         290.300        10.9700
31-10-2012/15:36:00      -1.18000         290.800        11.1100
31-10-2012/15:37:00     -0.610000         291.800        11.3300
31-10-2012/15:38:00     -0.360000         291.900        11.0200
31-10-2012/15:39:00      0.150000         291.500        10.5000
31-10-2012/15:40:00     0.0200000         292.700        11.1000
31-10-2012/15:41:00      0.200000         292.700        11.1100
31-10-2012/15:42:00      0.430000         292.200        11.0200
31-10-2012/15:43:00       1.31000         316.300        18.5500
31-10-2012/15:44:00       2.19000         316.900        19.4300
31-10-2012/15:45:00       3.66000         315.600        20.1800
31-10-2012/15:46:00       1.87000         330.900        23.4300
31-10-2012/15:47:00      0.300000         311.400        17.3600
31-10-2012/15:48:00      0.430000         338.600        24.5000
31-10-2012/15:49:00       1.79000         320.900        19.3900
31-10-2012/15:50:00       2.68000         350.600        28.2500
31-10-2012/15:51:00       3.38000         349.500        29.4800
31-10-2012/15:52:00       3.47000         300.700        14.4800
31-10-2012/15:53:00       3.97000         326.900        22.7100
31-10-2012/15:54:00       4.62000         302.200        14.9700
31-10-2012/15:55:00       4.86000         322.600        22.2600
31-10-2012/15:56:00       6.46000         351.600        31.5700
31-10-2012/15:57:00       6.59000         351.700        30.8600
31-10-2012/15:58:00       7.15000         351.900        29.5400
31-10-2012/15:59:00       8.04000         352.900        28.6500
31-10-2012/16:00:00       8.27000         353.100        28.6100
31-10-2012/16:01:00       8.02000         353.100        28.6100
31-10-2012/16:02:00       7.72000         350.200        26.2300
31-10-2012/16:03:00       8.19000         350.200        26.2300
31-10-2012/16:04:00       7.91000         349.700        26.6800
31-10-2012/16:05:00       7.41000         351.800        26.1600
31-10-2012/16:06:00       6.68000         355.100        25.6300
31-10-2012/16:07:00       5.49000         355.300        25.7200
31-10-2012/16:08:00       4.35000         352.400        26.3900
31-10-2012/16:09:00       1.01000         351.800        26.7700
31-10-2012/16:10:00       1.97000         349.500        28.1400
31-10-2012/16:11:00       1.82000         349.100        31.0300
31-10-2012/16:12:00      -1.28000         349.000        31.7800
31-10-2012/16:13:00      -1.85000         353.000        32.1400
31-10-2012/16:14:00     -0.840000         353.100        32.1500
31-10-2012/16:15:00    -0.0200000             nan            nan
31-10-2012/16:16:00       4.50000             nan            nan
31-10-2012/16:17:00       4.49000         346.900        36.0200
31-10-2012/16:18:00       4.60000         346.900        36.0200
31-10-2012/16:19:00       3.14000         347.300        35.4600
31-10-2012/16:20:00       2.75000         347.900        34.4700
31-10-2012/16:21:00       2.96000         347.900        34.4700
31-10-2012/16:22:00           nan         348.500        35.7100
31-10-2012/16:23:00      0.480000         348.300        35.0600
31-10-2012/16:24:00      -1.47000         348.200        34.7300
31-10-2012/16:25:00      -1.08000         348.500        36.6600
31-10-2012/16:26:00     -0.420000         348.500        36.6600
31-10-2012/16:27:00       0.00000         347.700        36.5200
31-10-2012/16:28:00      0.180000         347.700        36.5200
31-10-2012/16:29:00     -0.620000         346.400        36.2100
31-10-2012/16:30:00     -0.430000         346.000        36.1200
31-10-2012/16:31:00     -0.370000         347.600        36.2400
31-10-2012/16:32:00     -0.480000         347.600        36.2400
31-10-2012/16:33:00     -0.230000         346.600        35.2000
31-10-2012/16:34:00     -0.230000         346.600        35.2000
31-10-2012/16:35:00     -0.280000         346.600        35.2000
31-10-2012/16:36:00     -0.130000         345.400        36.7200
31-10-2012/16:37:00      0.260000         345.700        38.1800
31-10-2012/16:38:00      0.270000         345.200        36.6000
31-10-2012/16:39:00      0.200000         346.200        36.9100
31-10-2012/16:40:00     -0.150000         347.600        37.5500
31-10-2012/16:41:00      0.310000         347.500        38.4200
31-10-2012/16:42:00      0.540000         347.500        39.0400
