#  0. Epoch Time
#  1. Bz (nT), GSE
#  2. Flow Speed (km/s), GSE
#  3. Proton density (n/cc) (last currently-available OMNI plasma data Mar 08, 2018)
#
#EPOCH_TIME, BZ,_GSE FLOW_SPEED,_GSE PROTON_DENSITY
#dd-mm-yyyy hh:mm:ss           nT            km/s           n/cc
31-10-2012/01:54:00      0.360000             nan            nan
31-10-2012/01:55:00      0.490000         273.900        7.90000
31-10-2012/01:56:00      0.240000         273.900        7.90000
31-10-2012/01:57:00      0.240000         273.900        7.90000
31-10-2012/01:58:00     0.0600000             nan            nan
31-10-2012/01:59:00     -0.130000         272.200        7.63000
31-10-2012/02:00:00    -0.0600000         272.300        7.75000
31-10-2012/02:01:00    -0.0300000         272.900        7.71000
31-10-2012/02:02:00     -0.110000         271.500        7.25000
31-10-2012/02:03:00     -0.290000         271.400        7.22000
31-10-2012/02:04:00     -0.420000         272.100        6.52000
31-10-2012/02:05:00     -0.520000         273.100        6.67000
31-10-2012/02:06:00     -0.560000         274.000        6.80000
31-10-2012/02:07:00     -0.560000             nan            nan
31-10-2012/02:08:00     -0.440000             nan            nan
31-10-2012/02:09:00     -0.440000             nan            nan
31-10-2012/02:10:00     -0.350000         271.500        7.22000
31-10-2012/02:11:00     -0.540000         271.500        7.22000
31-10-2012/02:12:00     -0.370000         271.500        7.22000
31-10-2012/02:13:00     -0.320000         275.000        7.23000
31-10-2012/02:14:00     -0.390000         273.500        6.95000
31-10-2012/02:15:00     -0.320000         272.800        7.12000
31-10-2012/02:16:00     -0.240000         273.400        7.48000
31-10-2012/02:17:00     -0.380000         272.300        6.74000
31-10-2012/02:18:00           nan         272.300        6.62000
31-10-2012/02:19:00           nan             nan            nan
31-10-2012/02:20:00           nan             nan            nan
31-10-2012/02:21:00     -0.230000             nan            nan
31-10-2012/02:22:00     -0.140000             nan            nan
31-10-2012/02:23:00      -1.48000             nan            nan
31-10-2012/02:24:00      -1.39000             nan            nan
31-10-2012/02:25:00      -1.50000         272.200        7.77000
31-10-2012/02:26:00      -1.81000         272.200        7.77000
31-10-2012/02:27:00      -1.69000         272.200        7.77000
31-10-2012/02:28:00      -1.28000         272.500        7.51000
31-10-2012/02:29:00           nan         272.500        7.51000
31-10-2012/02:30:00     -0.450000             nan            nan
31-10-2012/02:31:00     -0.500000             nan            nan
31-10-2012/02:32:00     -0.250000         272.800        7.54000
31-10-2012/02:33:00     -0.190000         272.800        7.54000
31-10-2012/02:34:00           nan             nan            nan
31-10-2012/02:35:00       2.38000             nan            nan
31-10-2012/02:36:00       2.76000         281.000        8.33000
31-10-2012/02:37:00       2.94000         279.700        8.49000
31-10-2012/02:38:00       2.99000         277.400        8.52000
31-10-2012/02:39:00       2.98000         276.200        8.45000
31-10-2012/02:40:00       3.04000         278.800        8.70000
31-10-2012/02:41:00       2.95000         277.200        8.60000
31-10-2012/02:42:00       2.97000         276.900        8.69000
31-10-2012/02:43:00       2.14000         277.900        9.00000
31-10-2012/02:44:00       2.65000         277.500        8.88000
31-10-2012/02:45:00      0.480000             nan            nan
31-10-2012/02:46:00       2.90000             nan            nan
31-10-2012/02:47:00      0.270000             nan            nan
31-10-2012/02:48:00       1.10000         275.100        8.93000
31-10-2012/02:49:00       2.12000         276.600        8.61000
31-10-2012/02:50:00           nan         279.200        8.05000
31-10-2012/02:51:00       3.31000         275.700        7.90000
31-10-2012/02:52:00       3.03000         275.800        7.90000
31-10-2012/02:53:00      0.520000         280.300        7.66000
31-10-2012/02:54:00       2.53000         280.800        7.82000
31-10-2012/02:55:00       2.58000         279.500        8.51000
31-10-2012/02:56:00       2.56000         276.400        7.94000
31-10-2012/02:57:00       2.77000         278.100        8.12000
31-10-2012/02:58:00       2.98000         277.400        9.02000
31-10-2012/02:59:00       2.66000         277.500        8.76000
31-10-2012/03:00:00       2.52000         277.600        8.66000
31-10-2012/03:01:00       2.23000         280.600        7.95000
31-10-2012/03:02:00      0.820000         281.100        7.73000
31-10-2012/03:03:00      0.780000         282.200        7.76000
31-10-2012/03:04:00      0.500000         279.700        8.19000
31-10-2012/03:05:00       1.14000         280.000        8.03000
31-10-2012/03:06:00      0.260000         279.000        8.12000
31-10-2012/03:07:00      0.670000         281.200        8.05000
31-10-2012/03:08:00       1.34000         280.000        7.93000
