#  0 UT keV, cm^-2 s^-1 sr^-1 keV^-1
#  1 J- 37.30 keV, cm^-2 s^-1 sr^-1 keV^-1
#  2 J- 56.70 keV, cm^-2 s^-1 sr^-1 keV^-1
#  3 J- 80.40 keV, cm^-2 s^-1 sr^-1 keV^-1
#  4 J-110.90 keV, cm^-2 s^-1 sr^-1 keV^-1
#  5 J-145.90 keV, cm^-2 s^-1 sr^-1 keV^-1
#  6 J-184.90 keV, cm^-2 s^-1 sr^-1 keV^-1
#  7 J-211.30 keV, cm^-2 s^-1 sr^-1 keV^-1
#  8 J-221.10 keV, cm^-2 s^-1 sr^-1 keV^-1
#  9 J-237.15 keV, cm^-2 s^-1 sr^-1 keV^-1
# 10 J-317.36 keV, cm^-2 s^-1 sr^-1 keV^-1
# 11 J-349.10 keV, cm^-2 s^-1 sr^-1 keV^-1
# 12 J-455.94 keV, cm^-2 s^-1 sr^-1 keV^-1
# 13 J-582.73 keV, cm^-2 s^-1 sr^-1 keV^-1
# 14 Jr- 37.30 keV, cm^-2 s^-1 sr^-1 keV^-1
# 15 Jr- 56.70 keV, cm^-2 s^-1 sr^-1 keV^-1
# 16 Jr- 80.40 keV, cm^-2 s^-1 sr^-1 keV^-1
# 17 Jr-110.90 keV, cm^-2 s^-1 sr^-1 keV^-1
# 18 Jr-145.90 keV, cm^-2 s^-1 sr^-1 keV^-1
# 19 Jr-184.90 keV, cm^-2 s^-1 sr^-1 keV^-1
# 20 Jr-211.30 keV, cm^-2 s^-1 sr^-1 keV^-1
# 21 Jr-221.10 keV, cm^-2 s^-1 sr^-1 keV^-1
# 22 Jr-237.15 keV, cm^-2 s^-1 sr^-1 keV^-1
# 23 Jr-317.36 keV, cm^-2 s^-1 sr^-1 keV^-1
# 24 Jr-349.10 keV, cm^-2 s^-1 sr^-1 keV^-1
# 25 Jr-455.94 keV, cm^-2 s^-1 sr^-1 keV^-1
# 26 Jr-582.73 keV, cm^-2 s^-1 sr^-1 keV^-1
2012-10-31/15:02:36  12308.793  10521.555   3568.030    602.313    278.995    192.314    214.603    127.215    172.227    105.527    117.897     83.830     61.554     -0.141     -0.214      0.099      0.015     -0.009      0.042      0.060     -0.095     -0.032      0.003     -0.005      0.020     -0.001
2012-10-31/15:02:48  12352.640  10732.193   3563.010    648.474    283.924    176.453    186.847    119.631    198.892     86.044    133.878     84.169     64.935     -0.148     -0.215      0.102      0.097      0.012     -0.044     -0.077     -0.148      0.119     -0.181      0.126      0.029      0.056
2012-10-31/15:03:00  13144.226  11155.774   3299.582    682.157    272.059    180.556    197.299    146.109    169.192     95.645    137.381     82.321     64.902     -0.102     -0.201      0.023      0.162     -0.028     -0.019     -0.022      0.044     -0.051     -0.091      0.153      0.006      0.058
2012-10-31/15:03:12  13613.793  11662.817   3221.970    606.197    266.512    172.128    204.120    171.436    165.635    107.488    109.611     76.027     68.066     -0.079     -0.181      0.003      0.040     -0.045     -0.065      0.013      0.227     -0.067      0.023     -0.085     -0.069      0.106
2012-10-31/15:03:24  14336.858  11866.211   3260.575    580.770    291.560    213.915    215.171    137.770    161.758    117.784    100.167     77.833     50.386     -0.040     -0.184      0.018     -0.001      0.046      0.160      0.071     -0.010     -0.086      0.120     -0.167     -0.047     -0.181
2012-10-31/15:03:36  14236.846  12095.593   3196.850    522.541    263.281    181.841    180.654    184.607    190.743    107.911    111.805     74.346     56.824     -0.057     -0.185      0.001     -0.096     -0.054     -0.012     -0.098      0.330      0.078      0.020     -0.073     -0.087     -0.076
2012-10-31/15:03:48  14640.236  12041.381   3349.588    482.198    276.326    187.271    218.361    121.079    179.450    116.727    103.942     86.124     64.245     -0.040     -0.207      0.053     -0.163     -0.005      0.021      0.095     -0.129      0.013      0.100     -0.142      0.061      0.045
2012-10-31/15:04:00  15049.088  12633.728   3096.340    571.927    317.117    183.668    213.524    102.077    162.864    116.230    125.306     73.988     65.890     -0.022     -0.187     -0.023     -0.002      0.144      0.002      0.073     -0.265     -0.079      0.093      0.031     -0.092      0.068
2012-10-31/15:04:12  15293.533  12600.986   3259.203    522.876    272.755    204.968    185.832    107.824    181.375    101.523    128.665     84.490     58.305     -0.015     -0.208      0.031     -0.082     -0.014      0.118     -0.067     -0.223      0.029     -0.046      0.053      0.038     -0.055
2012-10-31/15:04:24  15864.272  12853.646   3176.681    528.689    296.332    181.137    188.115    134.732    187.174    112.084    123.362     84.672     55.534      0.013     -0.212      0.008     -0.067      0.074     -0.011     -0.055     -0.026      0.063      0.052      0.005      0.041     -0.098
2012-10-31/15:04:36  16106.908  12981.293   3052.128    569.091    249.422    162.090    222.114    156.710    182.716     97.385    102.522     82.457     54.719      0.020     -0.224     -0.028      0.007     -0.095     -0.116      0.117      0.136      0.036     -0.088     -0.168      0.018     -0.108
2012-10-31/15:04:48  16318.824  13799.795   3010.680    547.746    202.103    178.963    203.141    140.612    187.033     98.653    100.930     75.751     60.049      0.023     -0.196     -0.039     -0.026     -0.266     -0.022      0.026      0.024      0.061     -0.082     -0.186     -0.067     -0.023
2012-10-31/15:05:00  16854.305  14212.170   3004.172    549.475    232.712    202.238    180.120    139.438    186.810    100.766    106.095     78.098     65.126      0.047     -0.193     -0.037     -0.019     -0.154      0.106     -0.090      0.019      0.061     -0.061     -0.152     -0.036      0.063
2012-10-31/15:05:12  17210.807  14591.044   3131.771    502.393    253.887    192.017    214.403    144.118    159.836     89.527    134.931     84.027     66.607      0.047     -0.202      0.007     -0.093     -0.072      0.054      0.087      0.056     -0.091     -0.166      0.069      0.037      0.085
2012-10-31/15:05:24  17426.061  15253.840   2969.109    496.536    277.617    205.906    187.292    145.011    188.000     96.480    110.676     83.627     64.240      0.038     -0.196     -0.041     -0.092      0.013      0.131     -0.046      0.069      0.074     -0.104     -0.128      0.031      0.043
2012-10-31/15:05:36  17678.531  15738.855   3170.539    485.195    266.701    166.319    181.054    136.196    152.902    107.087    136.580     90.339     58.192      0.032     -0.201      0.029     -0.103     -0.022     -0.085     -0.075      0.005     -0.125     -0.008      0.074      0.116     -0.055
2012-10-31/15:05:48  17565.619  16397.102   3058.663    531.703    296.122    159.561    192.301    157.674    181.619    118.499    124.624     88.482     54.139      0.004     -0.198     -0.002     -0.009      0.085     -0.118     -0.012      0.168      0.040      0.093     -0.025      0.093     -0.120
2012-10-31/15:06:00  18051.113  16888.523   3005.807    541.520    303.355    153.060    184.124    156.982    167.008    110.091    128.928     90.008     65.748      0.010     -0.204     -0.015      0.018      0.110     -0.153     -0.053      0.170     -0.043      0.012      0.003      0.115      0.069
2012-10-31/15:06:12  18557.113  17530.648   2892.896    520.469    271.498    183.425    209.962    127.288    181.073    103.811    133.380     91.842     63.762      0.017     -0.204     -0.047     -0.013     -0.003      0.014      0.081     -0.048      0.041     -0.050      0.036      0.140      0.036
2012-10-31/15:06:24  18659.740  18254.584   2917.949    506.975    266.095    196.268    200.920    159.374    170.252    104.473    120.654     82.342     63.736      0.000     -0.200     -0.035     -0.030     -0.022      0.086      0.035      0.195     -0.020     -0.050     -0.065      0.022      0.034
